Province,City_District,Region_Type,Industry_Type,User_Type,Age_Group,Gender,Year_Month,User_Count,Transaction_Count,Transaction_Amount
Jeju-do,Jeju-si,Urban,Food_Beverage,Domestic_Tourist,30s,F,2018-12,15619,22925,562195533
Jeju-do,Jeju-si,Urban,Food_Beverage,Domestic_Tourist,30s,M,2018-12,20014,31667,889153494
Jeju-do,Jeju-si,Urban,Food_Beverage,Domestic_Tourist,Under_20,F,2018-12,468,739,11830740
Jeju-do,Jeju-si,Urban,Food_Beverage,Domestic_Tourist,Under_20,M,2018-12,438,644,11875570
Jeju-do,Jeju-si,Urban,Food_Beverage,Domestic_Tourist,20s,F,2018-12,17865,26709,536235139
Jeju-do,Jeju-si,Urban,Food_Beverage,Domestic_Tourist,20s,M,2018-12,14313,22758,496482176
Jeju-do,Jeju-si,Urban,Accommodation,Jeju_Resident,60s_and_above,F,2018-12,241,354,57047747
Jeju-do,Jeju-si,Urban,Accommodation,Jeju_Resident,60s_and_above,M,2018-12,431,596,249038339
Jeju-do,Jeju-si,Urban,Accommodation,Jeju_Resident,50s,F,2018-12,374,522,161486158
Jeju-do,Jeju-si,Urban,Accommodation,Jeju_Resident,50s,M,2018-12,855,1177,225591647
Jeju-do,Jeju-si,Urban,Accommodation,Jeju_Resident,40s,F,2018-12,545,694,107319419
Jeju-do,Jeju-si,Urban,Accommodation,Jeju_Resident,40s,M,2018-12,1051,1415,139464868
Jeju-do,Jeju-si,Urban,Accommodation,Jeju_Resident,30s,F,2018-12,293,383,36885391
Jeju-do,Jeju-si,Urban,Accommodation,Jeju_Resident,30s,M,2018-12,654,883,111992634
Jeju-do,Jeju-si,Urban,Accommodation,Jeju_Resident,Under_20,F,2018-12,15,20,932992
Jeju-do,Jeju-si,Urban,Accommodation,Jeju_Resident,Under_20,M,2018-12,21,24,1007100
Jeju-do,Jeju-si,Urban,Accommodation,Jeju_Resident,20s,F,2018-12,395,512,21686651
